Daytime/evening attendance,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
0,0,1,0,1,0,39,5,5,10.6,5,5,14.66666667,Dropout
1,0,0,1,1,0,21,11,9,11.9,9,8,12.25,Graduate
1,0,0,1,1,0,34,6,4,11.25,5,2,10.5,Dropout
0,0,0,1,1,1,41,5,4,11,5,5,11.4,Enrolled
1,0,0,1,1,0,18,6,6,12,6,6,12.5,Graduate
0,0,0,1,1,0,34,5,4,11.75,5,4,10.83333333,Enrolled
1,0,0,1,1,0,19,5,2,10,5,1,16,Dropout
1,0,0,1,1,0,19,8,7,13.71428571,8,7,13.71428571,Graduate
1,0,0,1,1,0,28,6,6,14.875,6,6,15.8,Graduate
1,0,0,1,1,0,18,6,5,10.8,6,0,0,Dropout
1,0,0,1,1,0,19,6,3,12,6,2,10,Dropout
1,0,1,0,1,0,19,6,5,12.5,6,2,13.5,Dropout
1,0,0,1,0,0,18,7,7,14.72857143,8,8,16.32727273,Graduate
1,0,0,1,0,0,18,6,6,12,6,5,14.8,Graduate
1,0,0,1,0,0,18,6,6,11.42857143,6,6,11,Dropout
1,0,0,1,0,0,19,6,6,14.16666667,6,6,13.5,Graduate
1,0,0,1,0,0,31,6,5,12.5,6,5,14.6,Graduate
0,0,0,1,0,1,33,6,6,14.16666667,6,6,14.33333333,Graduate
1,0,0,1,0,1,20,7,5,14.46,7,6,13.55,Enrolled
1,0,0,1,0,0,22,6,5,12.8,6,2,11.5,Enrolled
1,0,0,1,0,0,19,6,6,12.66666667,6,5,13.4,Graduate
1,0,0,1,0,0,18,6,6,12.5,6,6,13,Dropout
1,1,0,1,0,0,18,6,0,0,6,0,0,Dropout
1,0,0,0,0,0,18,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,18,0,0,0,0,0,0,Graduate
1,0,0,1,0,1,19,5,5,11.2,5,3,11,Graduate
1,0,0,1,0,0,18,6,6,16.5,6,6,17.42857143,Dropout
1,0,0,1,0,0,18,5,3,13.66666667,5,5,12,Graduate
1,0,0,1,0,1,18,8,7,15.22857143,8,7,15.22857143,Graduate
1,0,0,1,0,0,21,9,9,12.77777778,9,9,13.22222222,Graduate
1,0,0,1,0,1,18,8,7,14.42857143,8,7,14.42857143,Graduate
1,0,0,1,0,0,18,6,6,13.875,6,6,13.71428571,Graduate
1,0,0,1,0,0,18,7,7,13.128,8,6,13.19333333,Graduate
1,0,0,1,0,0,20,7,6,11.605,8,7,12.4125,Graduate
1,0,0,1,0,1,18,5,5,14.6,5,5,12,Graduate
1,0,0,1,0,0,18,6,0,0,6,0,0,Dropout
1,0,0,1,0,1,20,5,5,11.8,5,5,11.6,Graduate
1,0,0,1,0,0,20,6,6,12.33333333,6,6,12.33333333,Graduate
1,0,1,1,0,1,19,5,4,11,5,0,0,Dropout
1,0,0,1,0,1,19,11,11,13.18181818,11,11,12.90909091,Graduate
1,1,1,0,0,1,18,6,1,11,6,0,0,Dropout
1,0,1,1,0,1,19,6,6,11.83333333,6,6,12.28571429,Graduate
1,0,0,1,0,1,20,8,8,12.98125,8,8,12.98125,Graduate
1,0,0,1,0,0,21,7,6,11.33333333,5,5,11.2,Graduate
1,0,0,1,0,0,21,8,6,11.68,8,6,11.68,Graduate
1,0,0,1,0,0,20,6,6,14.5,6,6,13.5,Graduate
1,0,0,1,0,0,19,7,7,13.14285714,7,7,12.85714286,Graduate
1,0,0,0,0,0,21,5,2,11.5,5,2,10.5,Dropout
1,0,0,1,0,0,18,5,5,14.2,5,5,11.8,Graduate
1,0,0,1,0,1,19,6,5,11.66666667,6,5,12.2,Graduate
1,0,0,1,0,0,18,7,7,13.175,8,8,14.875,Graduate
1,0,0,1,0,1,19,8,7,13.31428571,8,7,13.31428571,Graduate
1,0,0,1,0,1,18,5,3,10.6,5,3,10.5,Graduate
1,0,0,1,0,1,18,6,4,12,6,4,10.75,Enrolled
1,0,0,1,0,0,18,6,6,13.42857143,6,6,14.14285714,Graduate
1,0,0,1,0,1,18,5,4,13.25,5,5,15.57142857,Graduate
1,0,0,1,0,0,18,6,2,13,6,0,0,Dropout
1,0,0,1,0,1,18,6,6,14.33333333,6,6,14,Enrolled
1,0,0,1,0,0,18,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,18,6,6,14,6,6,13.16666667,Graduate
1,0,0,1,0,1,20,2,2,12,6,6,12.83333333,Graduate
1,0,0,1,0,0,18,6,5,12.33333333,6,5,10.6,Enrolled
1,0,0,1,0,0,18,6,5,11.8,6,5,10.4,Graduate
1,0,0,1,0,1,20,8,7,12.79142857,8,7,12.79142857,Graduate
1,0,0,1,0,0,40,8,8,11.625,7,5,11.2,Graduate
1,0,0,1,0,1,18,7,6,11.99444444,8,7,12.43142857,Graduate
1,0,0,1,0,0,19,6,5,11.6,6,5,12.2,Graduate
0,0,0,1,0,0,24,5,0,0,5,0,0,Dropout
1,0,0,1,0,0,19,6,6,13.16666667,6,6,13.16666667,Dropout
1,0,0,1,0,0,19,8,7,14.1,8,7,14.1,Graduate
1,0,0,1,0,1,20,7,6,12.39666667,8,7,12.94285714,Graduate
1,0,0,1,0,0,18,7,7,15.01428571,8,8,16.0875,Graduate
1,0,0,1,0,1,18,0,0,0,0,0,0,Graduate
1,0,0,1,0,0,19,7,7,14.05,8,8,15.1,Graduate
1,0,0,1,0,0,18,7,7,14.85,8,8,15.2,Dropout
1,0,0,1,0,0,19,6,6,13,6,5,13,Graduate
1,0,0,1,0,1,19,7,7,14.7875,8,8,15.8625,Graduate
1,0,0,1,0,1,19,7,7,13.7,8,7,14.67142857,Graduate
1,0,0,1,0,1,19,7,7,12.49571429,8,7,12.24285714,Dropout
1,0,0,1,0,0,19,7,6,14.56666667,7,6,14.56666667,Graduate
1,0,1,0,0,0,25,5,5,11.2,5,4,11.25,Dropout
1,0,0,1,0,0,20,8,7,12.68571429,8,7,12.68571429,Graduate
1,0,1,0,0,0,23,9,7,13.57142857,9,4,13.25,Dropout
1,0,0,1,0,0,20,6,0,0,6,0,0,Dropout
0,0,0,1,0,0,27,6,5,11,6,6,11.16666667,Graduate
1,0,0,1,0,0,18,8,8,14.445,8,8,14.445,Graduate
1,0,1,1,0,0,18,6,5,13.6,6,4,11.75,Enrolled
0,0,1,0,0,0,23,12,11,14,10,8,14.625,Dropout
1,0,0,1,0,1,19,7,6,13.41666667,7,6,13.41666667,Graduate
1,0,0,1,0,0,18,5,5,12.33333333,5,5,11.4,Graduate
1,0,0,1,0,0,20,7,7,13.1,8,8,14.8125,Graduate
1,0,0,1,0,0,18,6,4,13.2,6,5,12.8,Graduate
1,0,0,1,0,1,19,8,8,14.75,8,8,14.75,Graduate
1,0,0,1,0,1,19,6,6,13.14285714,6,6,14.33333333,Graduate
1,0,0,1,0,0,19,6,4,12.5,6,5,12.5,Enrolled
1,0,0,1,0,0,18,5,4,13.75,5,5,14.85714286,Graduate
1,0,0,1,0,0,18,6,5,12.4,6,6,13,Graduate
1,0,0,1,0,0,18,6,6,13.33333333,6,6,12,Graduate
1,0,0,0,0,0,28,11,11,11.72727273,8,8,12,Dropout
1,0,0,1,0,0,19,6,4,12.5,6,1,14,Dropout
1,0,1,1,0,0,20,0,0,0,0,0,0,Dropout
1,0,0,1,0,1,19,7,6,13.53333333,8,7,13.61428571,Graduate
1,1,0,1,0,1,20,6,6,13.16666667,6,6,12.66666667,Graduate
1,0,0,1,0,1,19,6,5,13.2,6,5,11,Graduate
1,0,0,1,0,0,21,6,5,12.2,6,4,12.6,Enrolled
1,0,0,1,0,1,19,7,7,13.42857143,7,7,14.85714286,Graduate
1,0,0,1,0,1,18,6,6,12.71428571,6,6,12.625,Graduate
1,0,0,1,0,0,19,6,0,0,6,0,0,Dropout
1,0,0,1,0,1,19,6,6,13.66666667,6,6,13.66666667,Graduate
1,0,1,1,0,0,20,6,5,11,6,6,13.16666667,Graduate
1,0,0,1,0,0,18,7,5,11.4,7,6,13.33333333,Enrolled
1,0,0,1,0,0,18,0,0,0,0,0,0,Enrolled
1,0,0,1,0,0,18,5,4,12,5,5,12,Graduate
1,0,0,1,0,0,18,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,18,6,5,11,6,6,11.66666667,Graduate
1,0,0,1,0,0,20,6,5,12,6,6,11.57142857,Dropout
1,0,0,1,0,1,19,7,7,13.30857143,8,8,12.55,Graduate
1,0,1,0,0,0,21,6,3,13.66666667,6,3,10.66666667,Dropout
1,0,1,0,0,0,20,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,18,6,5,12.2,6,4,11.25,Graduate
1,0,0,1,0,1,20,6,6,12.66666667,6,6,12.83333333,Graduate
1,0,0,1,0,1,19,8,8,14.07125,8,8,14.07125,Graduate
1,0,0,1,0,0,22,5,4,14.25,5,5,13.2,Dropout
1,0,0,0,0,0,22,6,0,0,2,0,0,Dropout
1,0,0,1,0,0,18,6,3,12,6,4,10.25,Enrolled
1,0,0,1,0,0,21,10,6,11.16666667,10,7,10.57142857,Enrolled
1,0,0,1,0,0,19,6,2,13,6,5,11.6,Graduate
1,0,0,1,0,0,19,0,0,0,0,0,0,Dropout
1,0,0,1,0,1,20,8,7,14.90142857,8,7,14.90142857,Dropout
1,0,1,1,0,1,18,7,7,12.65,8,8,12.44555556,Graduate
0,0,0,0,0,0,22,12,7,11,5,5,10.6,Dropout
1,0,0,1,0,0,20,5,4,12.4,5,5,12.66666667,Graduate
1,0,0,1,0,0,19,6,6,12,6,6,12.66666667,Graduate
1,0,0,1,0,1,19,7,7,12.13571429,8,7,13.32857143,Graduate
1,0,0,1,0,1,20,7,5,12.62,7,6,12.5,Enrolled
0,0,0,1,0,0,25,5,3,10.66666667,5,3,11.33333333,Enrolled
1,0,0,1,0,1,19,7,6,13.76666667,8,7,14.05142857,Graduate
1,0,0,1,0,0,19,8,8,13.11625,8,8,13.11625,Graduate
1,0,0,0,0,0,19,5,0,0,6,0,0,Dropout
1,0,0,1,0,0,20,7,6,12.7,8,7,13.57142857,Graduate
1,0,0,1,0,0,25,7,7,11.85714286,8,5,11.7,Enrolled
1,0,0,1,0,1,20,7,6,12.33333333,7,6,12.33333333,Graduate
1,0,0,1,0,0,24,6,4,15.75,6,5,16.4,Enrolled
1,0,0,1,0,0,20,5,5,13.33333333,5,5,13.2,Graduate
1,0,0,1,0,0,21,7,7,14.35555556,8,8,13.49375,Graduate
1,0,1,1,0,1,19,6,6,13,6,5,13,Graduate
1,0,0,1,0,1,19,6,6,12.83333333,6,6,13.5,Graduate
1,0,0,1,0,1,21,5,5,13.2,5,4,13,Graduate
1,0,0,1,0,0,28,7,7,17.00555556,8,8,16.58222222,Graduate
1,0,1,0,0,1,19,6,5,10.6,6,5,11,Graduate
1,0,0,1,0,1,18,5,5,14,5,5,13.6,Graduate
1,0,0,1,0,1,18,8,7,12.11428571,8,7,12.11428571,Graduate
1,0,0,1,0,1,18,8,8,13.05875,8,8,13.05875,Graduate
1,0,0,1,0,0,22,8,7,13.28571429,8,7,13.28571429,Graduate
1,0,0,1,0,0,19,5,4,11,5,3,10.66666667,Enrolled
1,0,0,1,0,1,18,7,7,14.07142857,8,8,15.1625,Graduate
1,0,0,0,0,0,20,6,0,0,6,0,0,Dropout
1,0,0,0,0,0,26,9,4,11.25,10,3,11,Dropout
1,0,0,1,0,1,18,6,6,14,6,6,13.625,Graduate
1,0,0,1,0,1,21,6,6,12.16666667,6,3,11.66666667,Dropout
1,0,0,1,0,0,18,8,7,13.29714286,8,7,13.29714286,Graduate
1,0,0,1,0,0,20,6,6,13.92307692,6,6,14.25,Graduate
1,0,0,1,0,0,18,7,7,13.37,8,7,12.83333333,Graduate
1,0,0,1,0,1,19,5,5,12.4,5,3,11,Enrolled
1,0,0,1,0,0,20,5,4,15,5,4,13.75,Dropout
1,0,1,1,0,1,18,6,6,13.33333333,6,6,12.57142857,Graduate
1,0,0,1,0,1,20,5,3,12,5,4,12.625,Enrolled
0,0,0,1,0,0,22,6,5,13.4,6,5,12.2,Graduate
1,0,0,1,0,0,18,0,0,0,0,0,0,Enrolled
0,0,0,1,0,0,21,5,4,11.5,5,5,11.4,Graduate
1,0,0,1,0,0,18,7,6,12,7,6,12.16666667,Enrolled
1,0,0,1,0,0,18,8,7,13.48571429,8,7,13.48571429,Graduate
1,1,0,1,0,1,18,6,6,12,6,6,11.28571429,Graduate
1,0,0,1,0,0,19,0,0,0,0,0,0,Dropout
1,0,0,1,0,0,19,5,3,10.33333333,5,3,14.42857143,Enrolled
1,0,0,1,0,0,19,7,5,12.94,7,5,13.76,Enrolled
1,0,0,1,0,0,19,8,7,13.25857143,8,7,13.25857143,Graduate
1,0,0,1,0,0,19,5,4,12.25,5,4,12,Enrolled
1,0,0,0,0,0,19,6,3,11.66666667,6,1,10,Dropout
1,0,0,1,0,1,21,6,6,13.57142857,6,6,12.5,Graduate
1,0,0,1,0,1,20,6,5,11.8,6,5,11.83333333,Graduate
1,0,0,1,0,1,20,5,5,14.2,5,5,13.28571429,Graduate
0,0,0,1,0,0,41,5,5,11,5,5,11.8,Graduate
1,0,0,1,0,0,32,7,4,13.625,7,7,12.6375,Enrolled
1,0,0,1,0,0,18,8,7,14.65285714,8,7,14.65285714,Graduate
0,0,0,1,0,1,35,6,6,11.33333333,6,6,11.33333333,Graduate
1,0,1,0,0,0,32,7,4,13.7,7,0,0,Dropout
0,0,0,1,0,0,37,11,11,13.72727273,8,8,14.75,Graduate
1,0,0,1,0,0,30,7,7,11.75,8,7,11.14285714,Dropout
1,0,0,1,1,0,23,6,6,12.33333333,6,5,13,Graduate
1,0,0,1,0,1,20,6,6,14,6,6,13.85714286,Dropout
1,0,0,1,1,0,21,5,4,11.5,5,4,11.75,Graduate
1,0,0,1,1,0,19,5,5,11.2,5,5,13.2,Graduate
1,0,0,1,1,1,18,8,7,15.07,8,7,15.07,Graduate
1,0,0,1,1,0,18,5,1,10,5,1,12,Dropout
0,0,0,1,1,0,24,5,4,12,5,5,12.66666667,Enrolled
1,0,0,1,1,0,22,6,4,13,6,4,12.6,Graduate
1,0,0,1,1,0,18,6,4,11,6,3,11.25,Dropout
1,0,0,1,0,0,18,6,6,13.57142857,6,5,12.16666667,Graduate
1,0,0,1,1,0,21,6,5,14.6,6,5,14.2,Graduate
1,0,1,1,0,0,38,7,3,11.83333333,7,2,10,Dropout
1,0,0,1,0,1,19,7,7,12.625,8,8,12.5125,Graduate
1,0,0,1,0,0,36,7,4,11.5,7,3,12.33333333,Dropout
1,0,0,1,0,0,18,5,4,13.25,5,4,10.5,Graduate
1,0,0,1,0,0,19,7,7,12.60625,8,6,11.9,Graduate
1,0,1,0,0,0,21,10,8,13.75,9,5,13.2,Dropout
1,0,0,1,0,0,19,7,6,13.59833333,8,6,11.93333333,Enrolled
1,0,0,1,0,1,18,6,5,11.14285714,6,6,12.28571429,Graduate
1,0,0,1,0,0,45,11,11,12.7,10,10,12.96818182,Enrolled
1,0,0,1,0,0,20,5,1,10,5,1,11,Dropout
1,0,1,1,0,0,18,6,6,11.66666667,6,4,11.5,Graduate
1,0,0,1,0,1,18,6,6,14,6,6,13.14285714,Graduate
1,0,0,1,0,0,25,5,0,0,5,0,0,Dropout
1,0,0,1,0,0,19,8,7,12.04142857,8,7,12.04142857,Graduate
1,0,0,1,0,1,18,0,0,0,0,0,0,Graduate
1,0,0,1,0,0,39,13,13,13.76923077,12,12,14.58333333,Graduate
1,0,0,1,0,0,29,18,18,15.44444444,13,13,15.30769231,Graduate
1,0,0,1,0,0,18,7,6,11.5,7,7,12.71428571,Enrolled
1,0,0,0,0,0,23,3,2,10,6,0,0,Dropout
1,0,0,1,0,0,21,6,4,12.25,6,3,10.33333333,Dropout
1,0,0,0,0,0,18,6,6,14.5,6,6,15.16666667,Graduate
1,0,0,1,0,0,23,6,6,15.57142857,6,6,16.375,Graduate
1,0,0,1,0,0,18,6,6,15.57142857,6,6,14.71428571,Graduate
0,0,0,1,0,0,32,6,5,13.8,6,6,12.16666667,Graduate
1,0,1,0,0,0,29,5,3,10.66666667,5,2,14.8,Dropout
1,0,1,1,0,1,20,6,5,11.6,6,4,11.75,Graduate
1,0,0,0,0,0,28,6,1,13,6,0,0,Dropout
1,0,0,1,0,0,27,5,3,12,5,4,13.625,Graduate
1,0,1,1,0,0,22,14,12,12.33333333,14,12,12.33333333,Graduate
1,0,1,1,0,0,37,6,6,12.875,6,6,12.9,Enrolled
0,0,0,0,0,0,28,6,1,11,6,0,0,Dropout
1,0,1,0,0,0,43,6,4,12.25,6,4,10.5,Dropout
1,0,0,0,0,0,32,7,0,0,8,0,0,Dropout
1,0,0,1,0,1,20,6,4,10.75,6,5,11.5,Enrolled
1,0,0,1,0,1,35,8,8,13.63,8,8,13.63,Graduate
1,0,0,1,0,0,21,5,3,13,5,4,11.5,Graduate
1,0,0,1,0,1,18,7,6,13.53333333,7,7,12.22857143,Enrolled
1,0,0,1,0,1,18,7,7,16.9,8,8,16.37777778,Graduate
1,0,0,1,0,0,18,6,5,12,6,4,12,Graduate
0,0,0,1,0,0,22,6,6,12.5,6,6,13.28571429,Graduate
1,0,0,1,0,0,19,8,7,12.76428571,8,7,12.76428571,Graduate
1,0,0,1,0,1,18,5,5,13.75,5,5,12.16666667,Graduate
1,0,1,1,0,0,19,0,0,0,0,0,0,Dropout
1,0,0,1,0,1,18,7,7,14.60428571,8,8,15.68333333,Graduate
0,0,1,0,0,0,31,5,0,0,5,0,0,Dropout
0,0,1,1,0,1,33,6,5,13.83333333,6,6,12.5,Graduate
1,0,0,1,0,1,19,8,8,13.57625,8,8,13.57625,Graduate
1,0,0,1,0,1,18,6,6,15.14285714,6,6,15.83333333,Graduate
1,0,0,1,0,0,23,5,3,10.66666667,5,5,11.6,Graduate
1,0,0,1,0,0,20,6,5,11.2,6,6,12,Graduate
1,0,0,1,0,0,18,8,8,13.76375,8,8,13.76375,Graduate
1,0,1,1,0,0,21,9,8,13.25,9,5,12.2,Enrolled
1,0,0,1,0,1,22,6,5,10.71428571,6,5,12.2,Graduate
1,0,1,1,0,0,20,6,6,12.16666667,6,6,11.66666667,Graduate
1,0,0,1,0,0,23,7,6,14.35714286,7,6,14.35714286,Graduate
1,0,0,1,0,0,19,6,6,12.83333333,6,6,12.66666667,Graduate
1,0,0,1,0,0,19,8,7,13.92571429,8,7,13.92571429,Graduate
0,0,0,1,0,0,26,5,2,12,5,3,11,Dropout
1,0,0,1,0,0,18,7,7,13.44285714,8,8,13.74444444,Graduate
1,0,0,1,1,0,18,5,1,16,5,0,0,Dropout
1,0,0,1,1,0,20,6,6,13.125,6,6,13.2,Graduate
1,0,0,1,1,0,19,6,0,0,6,0,0,Dropout
0,0,0,0,1,0,32,9,5,11.4,4,4,11,Dropout
1,0,0,0,1,0,31,4,2,11,5,3,11.66666667,Dropout
1,0,0,1,1,0,25,5,1,11,5,1,10,Enrolled
1,0,0,1,0,0,21,6,5,13.66666667,6,5,13,Graduate
0,0,0,0,0,0,31,6,4,11.75,5,1,10,Dropout
1,0,0,1,0,0,34,7,1,10,7,1,13,Dropout
1,0,0,1,0,1,18,6,6,13.5,6,6,12.83333333,Graduate
1,0,1,1,0,0,19,6,0,0,6,0,0,Dropout
1,0,1,1,0,0,21,6,1,12,6,1,11,Enrolled
1,0,0,0,0,0,18,6,3,13,6,5,11.8,Dropout
1,0,0,1,0,0,20,6,6,14.83333333,6,6,16,Graduate
1,0,0,1,0,0,20,6,6,11.83333333,6,6,12.85714286,Graduate
1,1,0,1,0,1,18,6,5,12,6,5,12.33333333,Graduate
1,0,0,1,0,0,19,6,4,12.75,6,6,11.33333333,Graduate
1,0,0,1,0,0,19,5,0,0,5,4,14.75,Enrolled
1,0,0,1,0,1,30,6,0,0,6,1,10,Dropout
1,0,0,1,0,0,19,6,6,12,6,6,12.85714286,Graduate
1,0,0,1,0,0,19,7,7,11.67777778,8,8,13.8,Graduate
1,0,0,1,0,1,19,8,7,13.6,8,7,13.6,Graduate
1,0,0,1,0,0,19,6,6,16,6,6,15.875,Graduate
1,0,0,1,0,0,20,6,5,11.8,6,6,11.5,Graduate
1,0,1,1,1,0,25,5,0,0,6,2,14,Dropout
1,0,0,1,1,0,19,6,0,0,6,0,0,Dropout
1,0,1,1,0,1,34,6,6,16.14285714,6,6,16.2,Graduate
1,0,0,1,0,1,18,8,7,11.78571429,8,7,11.78571429,Graduate
1,0,0,1,0,1,18,8,8,13.42375,8,8,13.42375,Graduate
1,0,0,1,0,0,20,6,6,12.5,6,5,14.16666667,Graduate
1,0,0,1,0,1,20,8,7,12.46428571,8,7,12.46428571,Graduate
0,0,1,1,0,0,23,11,8,12.375,9,5,12.6,Enrolled
1,0,0,1,0,0,28,6,1,10,6,0,0,Dropout
1,0,0,1,0,0,18,6,5,12.6,6,6,12.42857143,Enrolled
1,0,0,1,0,0,19,5,5,12.6,5,4,12.4,Graduate
1,0,0,1,0,0,34,5,2,10,5,4,12,Dropout
1,0,0,1,0,0,35,7,0,0,6,0,0,Dropout
0,0,0,1,0,0,32,5,5,11.6,5,5,12.33333333,Graduate
1,0,0,1,0,0,19,6,6,12.16666667,6,6,13.5,Graduate
1,0,0,1,0,0,18,6,4,13.6,6,5,12.66666667,Graduate
1,0,0,0,0,0,35,5,4,12.5,5,5,11.8,Dropout
0,0,0,1,1,1,24,6,4,12.25,6,4,11.5,Enrolled
1,0,0,1,0,1,20,6,6,11.71428571,6,6,12.625,Graduate
1,0,0,1,1,1,18,6,6,13.5,6,6,13,Graduate
1,0,0,1,1,1,20,8,7,13.02428571,8,7,13.02428571,Graduate
1,0,0,0,1,0,18,6,0,0,6,0,0,Dropout
1,0,0,1,1,1,18,5,5,17.33333333,5,5,18.57142857,Graduate
1,0,0,1,1,1,20,5,4,11,5,4,11.5,Graduate
1,0,0,1,1,0,19,7,6,13.66666667,7,6,12.5,Dropout
1,0,0,1,1,1,20,6,6,11.375,6,5,13.8,Enrolled
1,0,0,1,1,0,19,6,6,12.83333333,6,6,11.83333333,Graduate
1,0,0,1,1,0,20,6,5,12.6,6,4,11.5,Graduate
1,0,0,1,1,0,22,7,6,14.33333333,8,7,13.77142857,Graduate
1,0,0,1,1,1,18,5,4,13.5,6,6,13.625,Enrolled
1,0,0,1,1,0,19,8,7,14.28571429,8,7,14.28571429,Graduate
1,0,0,1,1,0,22,6,3,11.75,6,2,10,Dropout
1,0,0,1,1,0,20,5,5,14.8,5,5,17.6,Graduate
1,0,1,0,1,0,34,6,0,0,6,0,0,Dropout
0,0,0,1,1,0,24,6,1,10,5,0,0,Dropout
1,0,0,1,1,0,26,5,0,0,5,0,0,Dropout
1,0,0,1,1,0,35,7,4,12.6,7,5,12.38,Dropout
0,0,0,1,1,0,22,5,5,12.42857143,5,5,11.8,Graduate
1,0,0,1,1,0,26,6,4,10,6,3,12,Enrolled
1,0,0,1,1,0,19,5,3,12.33333333,5,0,0,Dropout
1,0,0,0,1,0,19,6,0,0,6,0,0,Dropout
1,0,1,1,1,0,20,0,0,0,0,0,0,Graduate
1,0,1,1,1,0,21,11,10,12.1,8,8,13.33333333,Graduate
1,0,0,1,0,1,19,6,6,14.71428571,6,6,15,Graduate
1,0,0,1,0,0,18,6,6,12.66666667,6,6,12.83333333,Graduate
1,0,0,1,0,1,23,12,12,14.38461538,10,10,13.3,Graduate
1,0,0,1,0,1,18,5,5,13.4,5,5,12.2,Graduate
1,0,0,1,0,0,18,8,7,13.31428571,8,7,13.31428571,Graduate
1,0,0,1,0,0,19,8,7,11.98857143,8,7,11.98857143,Graduate
1,0,0,1,0,0,21,11,11,11.54545455,9,8,12.88888889,Graduate
1,0,0,1,0,1,18,6,6,16.46153846,6,6,13.875,Graduate
1,0,0,1,0,1,24,6,6,13.66666667,6,6,12.83333333,Graduate
1,0,0,1,0,0,18,7,7,12.65,8,8,13.41111111,Dropout
1,0,0,1,0,0,18,6,6,12.33333333,6,3,12,Enrolled
1,0,0,1,0,0,20,7,6,14.37,8,7,14.65,Graduate
1,0,0,1,0,0,19,5,3,12,5,4,11.75,Enrolled
1,0,0,0,0,1,18,6,3,12,6,3,10.66666667,Dropout
1,0,0,1,0,1,19,6,4,12,6,3,11,Dropout
1,0,0,1,0,0,19,6,5,12.6,6,5,11.2,Graduate
1,0,1,1,0,0,18,6,6,12.16666667,6,6,12.33333333,Graduate
1,0,0,1,0,0,20,7,6,13.5,7,6,14,Enrolled
1,0,0,1,0,1,18,8,8,13.76375,8,8,13.76375,Graduate
1,0,0,1,0,1,19,7,6,12.4,7,6,12.8,Graduate
1,0,0,1,0,0,18,5,4,10.66666667,5,2,12,Enrolled
1,0,0,1,0,0,18,7,6,14.33333333,7,6,14.33333333,Graduate
1,0,0,1,0,0,21,6,4,12.5,6,2,12.66666667,Enrolled
1,0,1,0,0,0,19,6,1,10,6,0,0,Dropout
1,0,0,1,0,0,21,7,7,14.69625,8,8,14.62222222,Graduate
1,0,0,1,0,0,18,6,4,11.5,6,3,13.75,Enrolled
1,0,0,1,0,1,18,7,7,12.85555556,8,8,13.9125,Graduate
1,0,0,1,0,0,18,7,7,13.7,8,8,13.99444444,Graduate
1,0,0,0,0,0,23,5,0,0,5,1,12,Dropout
1,0,0,1,0,0,20,6,3,11.2,6,4,12,Enrolled
1,0,0,1,0,0,18,7,7,13.28571429,8,8,13.33333333,Graduate
1,0,0,1,0,0,19,6,5,13,6,5,10.4,Enrolled
1,0,0,1,0,1,27,7,6,12.6,7,6,11.68571429,Enrolled
1,0,1,0,0,1,19,5,5,12.8,5,4,12,Enrolled
1,0,0,1,0,0,21,6,5,11.5,6,5,11,Dropout
1,0,0,1,0,1,19,8,7,11.4,8,7,11.4,Graduate
1,0,0,1,0,1,21,6,6,12.33333333,6,6,11.33333333,Graduate
1,0,0,1,0,0,18,6,5,12.8,6,4,12.2,Graduate
1,0,0,1,0,1,20,5,5,12,5,4,15,Graduate
1,0,0,1,0,1,18,6,5,13,6,5,13.5,Graduate
1,0,1,0,0,1,18,6,6,11.83333333,6,6,11,Dropout
1,0,0,1,0,0,18,6,6,14,6,6,13.33333333,Graduate
1,0,0,1,0,1,18,6,6,12.33333333,6,6,13.5,Graduate
1,0,0,1,0,1,19,7,5,13.04,7,7,12.5,Enrolled
1,0,1,0,0,0,23,11,11,13.16666667,9,8,13.33333333,Enrolled
1,0,0,1,0,1,24,6,6,12.5,6,6,12.83333333,Graduate
1,0,0,1,0,0,19,0,0,0,0,0,0,Graduate
1,0,0,1,0,0,18,8,7,15.65714286,8,7,15.65714286,Graduate
1,0,0,1,0,0,19,6,6,12.16666667,6,6,11.33333333,Graduate
1,0,0,1,0,0,19,6,0,0,6,0,0,Dropout
1,0,0,1,0,1,20,6,5,10.6,6,5,11.16666667,Enrolled
1,0,0,1,0,0,20,6,6,13.42857143,6,5,12.66666667,Enrolled
1,0,0,1,0,0,26,6,4,11.75,6,0,0,Dropout
1,0,1,0,1,0,36,5,0,0,5,0,0,Dropout
1,0,0,0,1,0,19,0,0,0,0,0,0,Dropout
1,0,0,0,1,0,27,5,0,0,5,0,0,Dropout
1,0,0,1,1,0,18,5,1,13,5,0,0,Dropout
1,0,0,1,1,1,18,8,7,13.33142857,8,7,13.33142857,Graduate
1,0,0,1,1,0,28,6,0,0,6,0,0,Dropout
1,0,0,1,1,0,21,0,0,0,0,0,0,Graduate
1,0,0,1,1,0,19,7,6,13.7,7,6,13.7,Graduate
1,0,1,0,1,0,26,5,0,0,5,0,0,Dropout
1,0,0,1,1,0,20,9,9,13.45454545,7,6,13.875,Dropout
1,0,0,1,1,0,19,8,7,12.2,8,7,12.2,Graduate
